Palavra;Frequência
uma;194
pergunta;37
sobre;19
religião.;1
a;807
separação;1
entre;36
igreja;1
e;577
estado;16
foi;83
consagrada;1
no;221
brasil;111
na;124
constituição;3
de;798
1891,;1
faz;22
mais;128
de;798
um;205
século.;1
o;804
estado;16
laico,;1
que;832
é;420
o;804
estado;16
que;832
não;311
tem;121
religião,;3
não;311
tem;121
uma;194
única;6
religião,;3
ele;42
garante;2
a;807
liberdade;6
para;321
todas;17
as;110
religiões.;2
só;53
um;205
estado;16
laico;1
garante;2
liberdade;6
para;321
todas;17
as;110
religiões.;2
evangélicos,;2
brasileiros,;10
umbandistas;1
brasileiros,;10
muçulmanos;1
brasileiros,;10
católicos,;1
judeus,;1
kardecistas;1
e;577
os;118
ateus,;1
todos;54
têm;24
direito;26
a;807
sua;37
fé;1
e;577
convicção.;1
o;804
código;2
penal;1
diz;4
que;832
é;420
crime;2
quando;42
você;64
escarnece;2
de;798
alguma;4
religião,;3
quando;42
você;64
escarnece;2
de;798
alguém;5
por;123
motivos;1
religiosos.;1
dizer;33
que;832
é;420
coisa;22
de;798
demônio;1
etc.;1
eu;285
queria;11
saber;10
como;84
a;807
senhora,;3
se;123
eleita;4
presidente,;4
vai;85
lidar;1
com;221
essa;62
questão,;1
vai;85
garantir;6
esse;77
preceito;1
fundamental;5
da;269
nossa;16
constituição.lógico,;1
mônica.;1
lógico.;1
é;420
óbvio.;2
todos;54
têm;24
direito;26
a;807
adorar;1
o;804
deus;8
que;832
bem;15
entenderem.;1
eu;285
sou;32
cristã;1
e;577
vim;6
aqui;35
trabalhar;3
para;321
a;807
paz.;2
estou;22
trabalhando;2
nessa;11
campanha;13
para;321
disseminar;3
a;807
paz;3
e;577
a;807
união;8
entre;36
as;110
pessoas,;4
pedir;6
para;321
as;110
pessoas;44
acabarem;1
com;221
essa;62
polarização;1
e;577
de;798
disseminar;3
o;804
ódio;3
entre;36
os;118
brasileiros,;10
um;205
povo;16
amável,;1
um;205
povo;16
afável,;1
que,;20
infelizmente,;4
estão;26
nos;32
separando.;1
e;577
mais,;3
mônica,;2
eu;285
quero;43
aqui;35
aproveitar,;1
eu;285
sou;32
muito;50
tranquila,;1
vim;6
na;124
paz,;5
bandeira;1
branca,;1
só;53
que;832
quando;42
eu;285
vejo;2
o;804
que;832
aconteceu;5
agora;26
com;221
a;807
vera,;4
eu;285
realmente;5
fico;4
extremamente;3
chateada.;1
quando;42
homens;4
são;33
tchutchuca;1
com;221
outros;3
homens,;1
mas;73
vêm;1
para;321
cima;2
da;269
gente;71
sendo;12
tigrão,;1
eu;285
fico;4
extremamente;3
incomodada.;1
aí;16
eu;285
fico;4
brava,;1
sim.;4
e;577
digo;2
mais;128
para;321
você.;3
lá;29
no;221
meu;43
estado,;6
tem;121
mulher;26
que;832
vira;2
onça,;1
e;577
eu;285
sou;32
uma;194
delas.;1
eu;285
não;311
aceito;1
esse;77
tipo;6
de;798
comportamento;2
e;577
de;798
"xingamento;";1
e,;17
acima;5
de;798
tudo,;5
disseminar;3
ódio;3
entre;36
os;118
brasileiros;11
e;577
nos;32
dividir.;1
nós;201
dizíamos;1
sempre,;2
lá;29
atrás,;8
que;832
o;804
pt;23
nos;32
separava,;1
separava;1
para;321
conseguir;7
manipular;1
e;577
manobrar;1
todo;25
mundo.;7
este;9
governo;56
está;75
fazendo;9
a;807
mesma;14
coisa.;5
a;807
mesma;14
coisa.;5
age;1
da;269
mesma;14
forma.;1
se;123
você;64
é;420
de;798
direita;2
ou;59
de;798
esquerda,;2
de;798
centro,;1
não;311
me;42
importa,;1
eu;285
tenho;27
que;832
te;1
respeitar,;1
acima;5
de;798
qualquer;13
coisa.;5
então,;23
liberdade;6
religiosa;2
para;321
todos;54
"nós;";1
e;577
temos,;3
sim;4
que;832
não;311
permitir;1
que;832
as;110
pessoas;44
fiquem;1
utilizando,;1
na;124
política,;10
o;804
nome;11
de;798
deus;8
em;175
vão.;1
é;420
vergonhoso.;1
já;49
tem;121
aí;16
evangélicos,;2
já;49
tem;121
muitos;13
católicos;1
chateadíssimos;1
e;577
tem;121
candidato;61
perdendo;1
eleitor;3
por;123
causa;5
dessa;7
falta;8
de;798
respeito;5
com;221
a;807
religião.bom,;1
mônica,;2
a;807
religião;2
é;420
algo;10
de;798
foro;1
íntimo,;1
que;832
tem;121
que;832
ser;54
respeitado.;3
a;807
crença;1
é;420
uma;194
das;70
liberdades;1
individuais;1
mais;128
importantes.;1
eu;285
mesmo;21
sou;32
muito;50
católico,;2
praticante,;1
e;577
respeito,;4
e;577
é;420
preciso;15
manter;5
a;807
religião;2
longe;1
da;269
política.;7
isso;76
aqui;35
não;311
é;420
uma;194
teocracia.;1
isso;76
aqui;35
é;420
uma;194
democracia.;3
e;577
sabe;33
qual;13
é;420
o;804
dizimo;1
que;832
a;807
gente;71
mais;128
está;75
usando;2
hoje?;3
chama-se;1
"""fundão";1
"eleitoral"".";1
sabe;33
o;804
que;832
é;420
o;804
fundão;4
eleitoral?;1
todos;54
aqui,;11
r$;59
5;4
bilhões,;4
tira;5
do;382
seu;41
bolso;7
para;321
ficar;12
gastando;1
dinheiro;34
em;175
campanha;13
política.;7
dinheiro;34
que;832
devia;1
estar;10
indo;6
para;321
a;807
saúde,;6
para;321
ter;48
pelo;35
menos;10
900;3
mil;8
crianças,;2
jovens,;1
em;175
escola;6
em;175
tempo;20
integral.;2
daria;1
para;321
usar;6
esse;77
dinheiro;34
e;577
ter;48
três;13
milhões;41
de;798
cirurgias;4
no;221
sus,;2
e;577
a;807
gente;71
fica;4
usando;2
esse;77
dinheiro;34
de;798
forma;18
perversa;2
para;321
financiar;6
campanha;13
política.;7
essa;62
é;420
uma;194
das;70
únicas;1
coisas;10
que;832
mostram;2
o;804
mau;4
exemplo;11
do;382
uso;2
do;382
dinheiro;34
público.;2
o;804
dinheiro;34
público;11
brasileiro;14
vem;12
sendo;12
usado;2
mal;3
porque;92
a;807
gente;71
tem;121
mania;1
de;798
escolher;3
o;804
menos;10
pior.;3
tem;121
que;832
acabar;11
com;221
isso,;26
tem;121
que;832
respeitar;3
o;804
dinheiro;34
público,;6
tem;121
que;832
respeitar;3
o;804
bolso;7
daquele;1
que;832
trabalha.bom,;1
não;311
posso;4
deixar;7
aqui;35
de;798
colocar;9
também;35
que;832
eu;285
já;49
estou;22
vacinada;1
contra;37
a;807
mentira,;1
e;577
não;311
virei;1
jacaré;1
até;28
hoje,;17
graças;1
a;807
deus.;3
mas;73
o;804
povo;16
brasileiro;14
não;311
está;75
vacinado;1
contra;37
mentira.;4
vamos;51
lá.;5
o;804
governo;56
federal;8
propôs;1
r$;59
200;4
de;798
auxílio;23
emergencial.;4
quem;73
subiu;1
para;321
r$;59
600;6
e;577
quem;73
está;75
colocando;2
r$;59
600;6
no;221
bolso;7
dos;48
brasileiros;11
somos;7
nós,;11
senadores;3
e;577
deputados.;1
então,;23
não;311
aguento;1
mais;128
mentira.;4
mentira;5
em;175
relação;9
à;49
corrupção.;4
aqui;35
está;75
difícil,;3
entre;36
presidentes,;1
alguém;5
ter;48
a;807
moral,;3
a;807
moral;4
de;798
olhar;8
para;321
a;807
cara;4
dos;48
brasileiros;11
e;577
falar;19
que;832
não;311
existe;8
corrupção.;4
chega;15
disso!;2
chega;15
de;798
briga,;1
chega;15
de;798
confusão,;3
chega;15
de;798
usar;6
o;804
nome;11
de;798
deus;8
em;175
vão,;1
e;577
vamos;51
mudar.;1
vamos;51
virar;2
a;807
página;1
deste;4
país.;15
eu;285
não;311
tenho;27
tempo;20
para;321
brigar.;1
então;9
não;311
vou;26
me;42
misturar;1
com;221
briga;2
e;577
confusão.;1
é;420
lógico;2
que;832
eu;285
fico;4
brava;1
porque;92
eu;285
sou;32
gente;71
como;84
todo;25
mundo;26
que;832
está;75
me;42
ouvindo.;1
não;311
sou;32
atriz;1
e;577
não;311
estou;22
aqui;35
para;321
disfarçar,;1
mas;73
vocês;14
podem;5
ter;48
certeza;3
de;798
que,;20
do;382
jeito;3
que;832
está,;1
eu;285
vou;26
começar;6
a;807
entregar,;1
e;577
é;420
muita;10
coisa;22
aqui.;4
reforcem;1
a;807
minha;39
segurança,;1
delegado.obrigada.;1
só;53
fazer;62
um;205
registro,;1
ao;55
final;7
da;269
fala;15
da;269
candidata;29
simone;18
tebet,;5
o;804
candidato;61
jair;19
bolsonaro;14
fez;13
um;205
pedido;10
de;798
direito;26
de;798
resposta,;6
está;75
registrado;2
aqui.;4
a;807
comissão;15
que;832
avalia;1
já;49
está;75
analisando;1
o;804
caso.;1
podemos;8
seguir.quem;1
faz;22
a;807
pergunta;37
agora,;17
pela;32
rádio;2
bandeirantes,;10
é;420
a;807
jornalista;12
thays;1
freitas.;1
por;123
favor,;9
quem;73
vai;85
responder;16
e;577
comentar,;2
thays?boa;1
noite;12
a;807
todos.;9
a;807
minha;39
pergunta;37
é;420
para;321
o;804
candidato;61
luiz;6
felipe;14
d'ávila,;2
comentário;8
da;269
candidata;29
simone;18
tebet.;6
é;420
um;205
assunto,;1
candidato,;11
que;832
sempre;7
está;75
presente;3
na;124
programação;1
da;269
rádio;2
bandeirantes,;10
em;175
todo;25
o;804
brasil,;43
e;577
diz;4
respeito;5
à;49
infraestrutura;4
do;382
país,;15
especialmente;1
em;175
relação;9
ao;55
agronegócio.;2
hoje,;17
o;804
brasil;111
é;420
o;804
segundo;9
maior;24
exportador;1
de;798
grãos;3
do;382
mundo,;12
e;577
existe;8
um;205
gargalo;1
para;321
fazer;62
com;221
que;832
esses;12
grãos;3
cheguem;1
aos;18
portos.;1
havia;4
um;205
projeto,;2
ele;42
existe;8
ainda,;3
é;420
o;804
projeto;10
da;269
ferrogrão,;1
que;832
foi;83
suspenso;1
por;123
uma;194
liminar;1
do;382
supremo;6
tribunal;6
federal,;7
e;577
isso;76
ainda;8
não;311
saiu;1
do;382
papel,;2
ligaria;1
o;804
mato;2
grosso;3
ao;55
pará,;1
fazendo;9
com;221
que;832
o;804
escoamento;1
da;269
safra;1
fosse;3
mais;128
rápido;1
e;577
mais;128
barato.;1
pela;32
magnitude;1
da;269
produção;2
agrícola;2
do;382
brasil,;43
pelo;35
tamanho;3
da;269
importância;3
do;382
país;49
como;84
produtor;1
de;798
grãos,;1
eu;285
pergunto;3
ao;55
senhor:;1
caso;17
o;804
senhor;38
seja;14
eleito,;1
qual;13
é;420
a;807
sua;37
proposta;9
para;321
fazer;62
com;221
que;832
esse;77
deslocamento;1
de;798
uma;194
produção;2
de;798
milhões;41
de;798
toneladas;2
pelo;35
país;49
seja;14
feito;7
de;798
uma;194
forma;18
melhor,;2
mais;128
econômica,;1
mais;128
inteligente;1
do;382
que;832
é;420
feito;7
hoje?é;1
verdade,;9
thays,;1
e;577
nós;201
precisamos;33
de;798
investimento;14
privado,;5
daí;3
parcerias;1
público-privadas,;1
concessão,;1
nós;201
precisamos;33
de;798
dinheiro;34
privado,;5
e;577
dinheiro;34
privado;2
só;53
vem;12
se;123
a;807
gente;71
acreditar;2
em;175
contrato,;2
ter;48
segurança;6
jurídica,;1
honrar;3
o;804
que;832
está;75
no;221
papel,;2
e;577
não;311
ficar;12
encampando;1
depois,;4
como;84
aconteceu;5
com;221
a;807
linha;5
amarela;1
no;221
rio;3
de;798
janeiro,;1
uma;194
vergonha;4
total!;1
então,;23
nós;201
precisamos;33
dessa;7
confiança.;1
o;804
congresso;7
aprovou;2
um;205
projeto;10
importante,;3
o;804
novo;2
pl;1
das;70
ferrovias.;2
isso;76
vai;85
permitir,;1
sim,;17
que;832
haja;1
mais;128
investimento;14
em;175
ferrovia,;1
que;832
é;420
algo;10
fundamental;5
para;321
o;804
brasil.;36
mas;73
tem;121
outras;9
áreas;1
essenciais:;1
saneamento;4
básico.;1
eu;285
não;311
sei;17
como;84
as;110
pessoas;44
são;33
contra;37
privatização.;2
vejam;1
só;53
vocês:;1
hoje,;17
o;804
que;832
acontece?;2
quem;73
controla;1
o;804
saneamento;4
básico?;1
a;807
maioria;7
estatal,;1
empresas;8
ineficientes,;1
cem;3
milhões;41
de;798
brasileiros;11
não;311
têm;24
acesso;6
a;807
esgoto;1
tratado.;1
finalmente,;1
agora,;17
se;123
aprovou;2
o;804
marco;2
do;382
saneamento.;1
e,;17
olha,;2
fica;4
de;798
olho;2
no;221
congresso,;4
hein!;1
que;832
pode;22
vir;2
encrenca;1
pela;32
frente.;1
apesar;1
de;798
ter;48
aprovado;2
lá;29
o;804
marco;2
do;382
saneamento;4
básico,;1
já;49
começa;7
a;807
maracutaia;1
para;321
ajudar;6
estatal.;4
é;420
assim:;2
estatal;3
agora;26
não;311
vai;85
ter;48
que;832
participar;5
de;798
licitação,;1
só;53
a;807
iniciativa;5
"privada;";1
já;49
está;75
começando,;1
é;420
bom;3
ficar;12
de;798
olho;2
naquilo;1
lá.;5
muito;50
importante;12
para;321
que;832
nós;201
tenhamos;1
recursos;3
privados.;2
e;577
aí;16
já;49
tem;121
meta;3
para;321
acabar;11
com;221
essa;62
excrescência;2
que;832
é;420
deixar;7
cem;3
milhões;41
de;798
brasileiros;11
sem;28
saneamento;4
básico;1
em;175
2033,;1
com;221
investimento;14
privado.;5
portanto,;17
é;420
o;804
investimento;14
privado,;5
é;420
o;804
mercado;8
que;832
resolve.;2
daí;3
a;807
importância;3
da;269
privatização.;2
a;807
gente;71
tem;121
que;832
privatizar;1
tudo;16
no;221
brasil.;36
privatização;1
porque;92
tem;121
que;832
acabar;11
com;221
esse;77
cabide;1
de;798
emprego;15
público,;6
esse;77
mau;4
uso;2
de;798
dinheiro;34
público,;6
esses;12
lugares;3
onde;20
são;33
feitos;1
os;118
maiores;4
escândalos;2
de;798
corrupção;22
do;382
brasil:;3
são;33
lá;29
mensalão,;4
"petrolão;";1
chega;15
disso!;2
nós;201
precisamos;33
escolher;3
os;118
melhores,;1
aqueles;3
que;832
vão;7
abrir;5
a;807
economia;23
do;382
brasil,;43
atrair;8
investimento;14
privado,;5
investir;6
em;175
concessão;1
e;577
parceria;7
público-privado;1
para;321
resolver;9
a;807
questão;19
da;269
infraestrutura;4
brasileira,;4
que,;20
hoje,;17
é;420
dos;48
maiores;4
gargalos;1
do;382
custo;1
brasil:;3
o;804
desperdício;2
de;798
alimento.;1
sabe;33
por;123
que;832
tem;121
gente;71
passando;5
fome;8
hoje?;3
55;1
milhões;41
de;798
toneladas;2
de;798
alimento;2
são;33
desperdiçadas;1
quando;42
o;804
alimento;2
que;832
sai;3
da;269
fazenda;1
e;577
chega;15
até;28
o;804
supermercado.;1
se;123
nós;201
economizássemos;1
5;4
milhões;41
de;798
toneladas,;1
10%;1
desse;15
valor,;3
acabaria;1
com;221
o;804
problema;5
da;269
fome;8
no;221
brasil.candidata?sem;1
dúvida;2
nenhuma;4
nós;201
precisamos;33
de;798
investimento;14
privado;2
para;321
o;804
brasil;111
voltar;19
a;807
crescer,;6
gerar;12
emprego;15
e;577
renda.;4
eu;285
nasci;1
em;175
uma;194
cidade;2
rasgada;1
por;123
ferrovias.;2
sou;32
do;382
centro-oeste,;1
do;382
celeiro;1
do;382
brasil,;43
e;577
conheço;2
bem;15
essa;62
realidade.;2
nós;201
temos;51
projetos;2
parados,;1
e;577
já;49
não;311
é;420
de;798
agora,;17
para;321
rasgar;2
o;804
brasil;111
de;798
norte;1
a;807
sul,;2
de;798
leste;1
a;807
oeste;1
com;221
rodovias.;1
mas;73
quem;73
faz;22
ferrovias;2
no;221
brasil;111
é;420
a;807
iniciativa;5
privada.;3
só;53
dos;48
projetos;2
que;832
estão;26
lá,;4
20;8
deles;3
têm;24
a;807
capacidade,;1
nos;32
próximos;1
anos,;13
de;798
injetar;1
r$;59
100;15
bilhões;12
na;124
economia;23
brasileira.;6
nós;201
podemos;8
estar;10
falando;11
de;798
algo;10
em;175
torno;3
de;798
dois;23
milhões;41
e;577
meio;11
de;798
empregos,;1
diretos;1
e;577
indiretos,;1
no;221
brasil.;36
rasgar;2
o;804
país;49
de;798
ferrovias;2
significa;5
trazer;10
os;118
grãos;3
mais;128
baratos,;1
mais;128
rápidos,;1
de;798
forma;18
mais;128
ecológica;1
e;577
fazendo,;1
com;221
isso,;26
que;832
nós;201
possamos;3
nos;32
tornar;1
mais;128
competitivos;1
ainda;8
com;221
o;804
mercado;8
internacional.o;1
agronegócio;3
é;420
um;205
exemplo;11
para;321
o;804
brasil.;36
é;420
o;804
único;9
setor;9
da;269
economia;23
que;832
consegue;6
competir;4
na;124
economia;23
global.;1
portanto,;17
infraestrutura;4
para;321
o;804
agro;10
é;420
vital;1
para;321
continuarmos;1
a;807
exportar;2
mais.;3
e;577
outra:;1
para;321
ajudar;6
o;804
agro;10
exportar;2
não;311
só;53
commodities,;1
mas;73
valor,;3
bens;1
de;798
maior;24
valor;7
agregado.;1
e;577
é;420
um;205
absurdo,;1
viu,;1
lula?;1
chamar;1
o;804
agro;10
de;798
"fascista;";1
isso;76
é;420
um;205
absurdo!;1
esse;77
é;420
o;804
motor;1
da;269
economia;23
brasileira.;6
nós;201
temos;51
de;798
ter;48
orgulho;6
do;382
agronegócio;3
brasileiro,;3
esse;77
agro;10
sustentável,;2
que;832
hoje;23
é;420
o;804
maior;24
produtor...;1
um;205
dos;48
maiores;4
produtores;1
de;798
soja,;1
algodão;1
do;382
mundo.;7
o;804
mundo,;12
hoje,;17
depende;5
do;382
brasil;111
para;321
ser;54
alimentado.;1
portanto,;17
nós;201
temos;51
de;798
honrar;3
o;804
que;832
há;20
de;798
melhor.;2
nós;201
precisamos;33
parar;3
com;221
essa;62
história,;2
esse;77
complexo;2
de;798
vira-lata;1
e;577
ter;48
complexo;2
das;70
coisas;10
que;832
a;807
gente;71
faz;22
bem.;3
o;804
agro;10
brasileiro;14
é;420
um;205
exemplo.;5
nós;201
precisamos;33
enaltecer;1
o;804
agro.;2
o;804
agro;10
é;420
o;804
que;832
fez;13
a;807
economia;23
crescer.;8
se;123
você;64
tirar;15
o;804
crescimento;7
do;382
pib;4
do;382
agro,;2
sabe;33
quanto;8
o;804
brasil;111
teria;1
crescido?;1
zero.;5
zero.;5
o;804
mundo;26
cresceu;3
32%;1
de;798
2010;2
a;807
2020,;1
e;577
sabe;33
quanto;8
cresceu;3
o;804
brasil?;3
2,5.;1
e;577
se;123
tirar;15
o;804
agro,;2
cresceu;3
zero.;5
portanto,;17
nós;201
temos;51
de;798
enfatizar;1
o;804
que;832
é;420
de;798
valor;7
no;221
brasil,;43
que;832
é;420
o;804
agro.;2
e;577
é;420
por;123
isso;76
que;832
a;807
gente;71
tem;121
que;832
tirar;15
o;804
estado;16
das;70
costas;4
das;70
pessoas;44
que;832
trabalham,;1
que;832
geram;2
riqueza,;3
que;832
produzem.;1
o;804
estado;16
brasileiro;14
só;53
inferniza;1
a;807
gente;71
com;221
burocracia;1
e;577
com;221
imposto,;2
cada;28
vez;11
mais;128
imposto;16
sendo;12
cobrado;1
para;321
prestar;1
um;205
serviço;2
público;11
de;798
péssima;2
qualidade,;2
como;84
é;420
o;804
caso;17
da;269
infraestrutura;4
no;221
brasil:;3
estradas;1
esburacadas.;1
é;420
isso;76
que;832
é;420
a;807
ineficiência;1
e;577
a;807
incompetência;2
desses;4
que;832
governam;1
o;804
país.;15
chega;15
de;798
eleger;2
o;804
menos;10
pior;3
para;321
a;807
presidência;13
da;269
república.a;1
comissão;15
avaliou;2
o;804
pedido;10
de;798
direito;26
de;798
resposta;16
do;382
candidato;61
jair;19
bolsonaro;14
e;577
foi;83
recusado.;1
chegamos;2
ao;55
final;7
deste;4
bloco;5
no;221
primeiro;22
debate;16
entre;36
os;118
candidatos;28
à;49
presidência;13
realizado;3
aqui;35
nos;32
estúdios;2
da;269
band,;2
em;175
são;33
paulo,;4
pelo;35
grupo;9
bandeirantes;5
em;175
parceria;7
com;221
a;807
tv;15
cultura,;9
a;807
folha;10
de;798
s.paulo;3
e;577
o;804
portal;5
uol.depois;1
do;382
intervalo,;1
mais;128
um;205
confronto;7
direto;4
entre;36
os;118
candidatos,;8
só;53
que;832
agora;26
eu;285
e;577
o;804
eduardo;3
oinegue;1
nos;32
despedimos;1
porque;92
o;804
próximo;9
bloco;5
será;19
mediado;2
pelos;10
jornalistas;8
leão;2
serva,;2
da;269
tv;15
cultura,;9
e;577
fabíola;2
cidral,;2
do;382
uol.olho;1
no;221
voto,;2
eleições;6
2022.boa;1
noite.boa;4
noite.;7
voltamos;2
ao;55
vivo;4
para;321
todo;25
brasil;111
com;221
este;9
que;832
é;420
o;804
primeiro;22
debate;16
das;70
eleições;6
2022;3
entre;36
candidatos;28
à;49
presidência;13
da;269
república.;6
o;804
encontro;3
promovido;1
em;175
parceria;7
entre;36
o;804
grupo;9
uol,;4
bandeirantes,;10
tv;15
cultura;7
e;577
jornal;5
folha;10
de;798
s.paulo.um;1
momento;9
histórico;3
para;321
a;807
democracia;5
brasileira.;6
é;420
a;807
primeira;23
oportunidade;16
que;832
os;118
eleitores;2
têm;24
para;321
comparar;2
no;221
mesmo;21
programa;12
as;110
propostas,;2
as;110
ideias;2
e;577
as;110
reações;1
dos;48
candidatos.;10
lembro;4
que;832
o;804
debate;16
está;75
sendo;12
exibido;1
na;124
internet;1
pelos;10
canais;1
digitais;4
de;798
todas;17
as;110
empresas;8
do;382
pool,;4
e;577
também;35
nas;20
rádios;3
cultura;7
brasil;111
e;577
cultura;7
fm.esse;1
bloco;5
abre;1
com;221
mais;128
uma;194
rodada;9
de;798
confronto;7
direto;4
entre;36
os;118
candidatos.;10
vamos;51
então;9
relembrar;1
as;110
regras;6
que;832
foram;11
aprovadas;2
por;123
todos;54
os;118
partidos.;2
cada;28
candidato;61
escolhe;4
quem;73
vai;85
responder;16
e;577
tem;121
um;205
minuto;10
para;321
a;807
pergunta;37
e;577
um;205
minuto;10
para;321
a;807
réplica.;2
a;807
resposta;16
e;577
a;807
tréplica;2
terão;3
tempo;20
acumulado;1
de;798
quatro;14
minutos;10
para;321
ser;54
administrado;3
pelo;35
candidato.;9
os;118
candidatos;28
só;53
podem;5
responder;16
uma;194
vez.;2
na;124
sequência;1
do;382
bloco,;4
mais;128
uma;194
rodada;9
com;221
perguntas;8
sobre;19
programas;2
de;798
governo;56
para;321
todos;54
os;118
candidatos.;10
serão;5
três;13
perguntas,;1
cada;28
uma;194
respondida;4
por;123
dois;23
dos;48
candidatos.;10
o;804
tempo;20
de;798
resposta;16
é;420
de;798
um;205
minuto.;2
logo;3
após;3
essa;62
rodada,;1
os;118
candidatos;28
terão;3
dois;23
minutos;10
para;321
as;110
suas;14
considerações;8
finais,;1
em;175
ordem;9
invertida;2
ao;55
início;3
do;382
debate.vamos;1
começar;6
então;9
esse;77
segundo;9
momento;9
de;798
confronto;7
direto.;2
eu;285
lembro;4
que;832
cada;28
candidato;61
só;53
pode;22
responder;16
uma;194
vez.e;1
pelo;35
sorteio;3
prévio,;2
quem;73
começa;7
essa;62
rodada;9
indicando;2
quem;73
vai;85
responder;16
é;420
a;807
candidata;29
simone;18
tebet.;6
a;807
quem;73
a;807
senhora;26
pergunta,;10
candidata?ao;1
candidato;61
bolsonaro.;10
eu;285
vou;26
reformular;2
minha;39
pergunta,;10
até;28
porque;92
eu;285
vi;8
que;832
ele;42
fez;13
um;205
pedido;10
de;798
resposta;16
e;577
não;311
foi;83
atendido.;1
eu;285
gostaria;14
dar;22
oportunidade;16
a;807
ele.;2
então,;23
eu;285
vou;26
reformular;2
a;807
minha;39
pergunta.;7
o;804
candidato;61
bolsonaro,;13
como;84
deputado,;1
defendeu;3
um;205
assassino;1
de;798
mulheres...;1
de;798
uma;194
mulher,;4
no;221
senado.;5
defendeu;3
um;205
torturador;1
de;798
mulheres,;13
assim;14
mesmo,;4
no;221
plural.;1
votou;6
contra;37
os;118
direitos;3
das;70
empregadas;1
domésticas,;1
votou;6
contra;37
o;804
contrato;3
de;798
trabalho;7
e;577
direitos;3
trabalhistas;1
das;70
mulheres.;16
ameaça;2
jornalistas,;3
comete;1
misoginia,;1
agride;5
as;110
mulheres;24
brasileiras.;2
eu;285
mesma;14
já;49
fui;32
vítima,;2
repito;1
aqui,;11
de;798
violência;8
política;33
de;798
seus;9
ministros.;2
eu;285
quero;43
de;798
forma;18
bem;15
objetiva;1
não;311
voltar;19
na;124
questão;19
do;382
robô,;1
que;832
não;311
me;42
intimida,;1
dos;48
recortes;1
de;798
fake;8
news;7
que;832
são;33
divulgados;1
a;807
todo;25
momento,;3
inclusive;7
sobre;19
a;807
minha;39
candidatura.;1
mas;73
a;807
pergunta;37
é;420
bem;15
objetiva.;1
candidato;61
bolsonaro,;13
por;123
que;832
tanta;2
raiva;2
das;70
mulheres?me;1
acusa;1
sem;28
prova;1
nenhuma.;2
começo;4
dizendo;6
que;832
eu;285
defendi;1
o;804
estuprador.;1
qual?;1
qual;13
estuprador?;1
por;123
que;832
essa;62
forma;18
barata;1
de;798
me;42
acusar;1
como;84
se;123
eu;285
não;311
gostasse;1
de;798
mulheres?;1
eu;285
fui;32
o;804
governo;56
que;832
mais;128
sancionou;1
leis;3
defendendo;1
mulheres.;16
hoje,;17
é;420
o;804
dia;6
do;382
voluntariado.;1
eu;285
quero;43
cumprimentar;3
a;807
primeira-dama;1
pelo;35
brilhante;1
trabalho;7
que;832
ela;31
faz;22
nessa;11
área.;1
nunca;9
foi;83
procurada;1
por;123
vossa;7
excelência;6
para;321
tratar;2
desse;15
assunto.;1
duas;11
mulheres;24
foram;11
na;124
cpi;4
da;269
covid,;1
a;807
senhora;26
nise;2
yamaguchi;1
e;577
a;807
senhora;26
mayra,;2
lá;29
do;382
ceará.;4
foram;11
maltratadas.;1
foram;11
esculhambadas.;1
foram;11
humilhadas.;1
onde;20
estava;16
vossa;7
excelência;6
que;832
era;27
da;269
comissão;15
da;269
covid?;3
estava;16
escondidinha;1
apoiando;3
renan;2
calheiros,;2
omar;1
aziz.;1
apoiando;3
essas;11
pessoas.;11
não;311
foi;83
defender;4
mulheres;24
lá.;5
e;577
duas;11
mulheres,;13
quem;73
tem;121
algo;10
contra;37
nise;2
yamaguchi,;1
meu;43
deus;8
do;382
céu?;1
quem;73
tem;121
algo;10
contra;37
à;49
senhora;26
mayra,;2
lá;29
do;382
ceará?;1
duas;11
médicas.;1
o;804
que;832
a;807
senhora;26
fez?;1
veio;2
com;221
discurso;3
barato,;2
que;832
eu;285
ataco,;1
que;832
eu;285
agrido;1
as;110
mulheres.;16
não;311
cola;2
mais.;3
não;311
cola;2
isso.;11
uma;194
mulher;26
se,;1
porventura,;2
faz;22
algo;10
errado,;1
ela;31
tem;121
que;832
responder;16
por;123
isso.;11
e;577
não;311
ser;54
defendida;1
só;53
porque;92
é;420
mulher.;8
chega;15
de;798
vitimismo.;1
somos;7
todos;54
iguais.;1
repito,;1
sancionei;1
mais;128
de;798
60;4
leis;3
em;175
defesa;5
das;70
mulheres.;16
e;577
eu;285
tenho;27
certeza,;2
uma;194
grande;9
parte;7
das;70
mulheres;24
do;382
brasil;111
me;42
amam,;1
que;832
eu;285
defendo;3
a;807
família,;7
eu;285
sou;32
contra;37
a;807
liberação;5
das;70
drogas,;3
que;832
tem;121
muita;10
gente;71
aqui;35
que;832
é;420
favorável;3
a;807
liberação;5
das;70
drogas,;3
essas;11
pessoas;44
não;311
sabem;3
o;804
que;832
é;420
uma;194
mãe;4
ter;48
um;205
filho;7
em;175
casa;6
drogado.;1
eu;285
defendo;3
as;110
mulheres.;16
quando;42
eu;285
defendo;3
a;807
arma,;2
no;221
campo,;1
em;175
especial,;1
é;420
para;321
dar;22
chance;2
para;321
a;807
mulher;26
se;123
defender.;3
eu;285
dei;3
mais;128
de;798
370;1
mil;8
títulos;2
da;269
reforma;2
agrária;1
no;221
brasil,;43
seu;41
estado;16
foi;83
muito;50
beneficiado,;1
e;577
