Palavra;Frequência
educação;35
foi;83
abandonada;1
nesse;27
país.obrigada,;1
candidato.;9
agora,;17
a;807
mesma;14
pergunta;37
para;321
o;804
candidato;61
ciro;24
gomes.;5
boa;18
noite.boa;4
noite;12
a;807
todos;54
e;577
a;807
todas;17
os;118
brasileiros.;4
eu;285
quero;43
agradecer;10
à;49
bandeirantes;5
que;832
lidera;1
esse;77
pool,;4
por;123
essa;62
oportunidade;16
de;798
debater.;1
quero;43
cumprimentar,;1
dar;22
um;205
boa;18
noite;12
a;807
todos;54
os;118
meus;4
ilustres;2
oponentes;1
aqui,;11
às;6
senadoras;1
e;577
aos;18
senhores;3
candidatos.;10
e;577
a;807
todos;54
os;118
brasileiros,;10
eu;285
devo;1
dizer;33
basicamente;1
que;832
essa;62
pergunta;37
parece;3
ser;54
uma;194
escolha;2
que;832
deus;8
me;42
deu.;1
por;123
quê?;9
porque;92
o;804
ceará;3
tem;121
hoje;23
a;807
melhor;8
educação;35
pública;12
do;382
brasil,;43
e;577
eu,;7
modestamente,;1
ajudei;1
a;807
produzir;2
isso.;11
nós;201
temos;51
em;175
todos;54
os;118
indicadores;3
de;798
avaliação,;2
79;1
das;70
100;15
melhores;4
escolas;3
públicas;5
do;382
brasil,;43
e;577
já;49
estamos;15
encaminhando;1
uma;194
equação;1
para;321
esse;77
prejuízo;1
grave;4
que;832
a;807
pandemia;10
causou;2
entre;36
a;807
comunidade;1
escolar.;2
porém,;3
vamos;51
ter;48
clareza.;1
eu;285
vou;26
fazer;62
durante;7
esse;77
debate;16
um;205
esforço;1
imenso;1
para;321
que;832
a;807
gente;71
entenda;2
que;832
os;118
problemas;9
brasileiros;11
de;798
hoje;23
não;311
são;33
problemas;9
que;832
nasceram;2
agora.;2
o;804
descuido;1
com;221
a;807
educação;35
brasileira;12
parece;3
ser;54
um;205
projeto;10
de;798
governo.;13
portanto,;17
nós;201
precisamos;33
transformar;6
a;807
educação;35
pública;12
brasileira;12
numa;8
das;70
dez;6
melhores;4
do;382
mundo;26
em;175
15;7
anos.;14
e;577
para;321
isso,;26
eu;285
preciso;15
dizer;33
como.;1
mudar;14
o;804
padrão;8
pedagógico,;1
trocar;3
o;804
decoreba;1
por;123
um;205
ensino;15
emancipador,;1
que;832
os;118
tempos;3
digitais;4
pedem,;1
e;577
reforçar;2
estruturalmente;1
o;804
financiamento.;3
se;123
nós;201
não;311
mudarmos;1
o;804
modelo;9
de;798
financiamento;3
da;269
educação;35
brasileira,;4
assim;14
como;84
da;269
saúde,;6
assim;14
como;84
de;798
todas;17
as;110
grandes;3
questões,;1
será;19
falsa;1
toda;4
e;577
qualquer;13
promessa;3
ou;59
desconhecimento;1
da;269
realidade;2
em;175
que;832
estamos;15
atolados;1
no;221
brasil.;36
eu;285
quero;43
pedir;6
a;807
todos;54
que;832
acompanhem;1
nas;20
minhas;3
redes;1
os;118
detalhes;3
dessa;7
proposta.vamos;1
começar;6
agora;26
a;807
primeira;23
rodada;9
de;798
confronto;7
direto;4
entre;36
os;118
candidatos:;2
todos;54
perguntam;2
e;577
todos;54
respondem.lembrando;1
que;832
perguntas;8
e;577
réplicas;1
têm;24
um;205
minuto;10
cada.;1
respostas;1
e;577
tréplicas,;1
somadas,;1
têm;24
quatro;14
minutos,;3
que;832
serão;5
administradas;1
pelo;35
próprio;5
candidato.;9
pelo;35
sorteio;3
prévio,;2
quem;73
começa;7
essa;62
rodada;9
indicando;2
quem;73
vai;85
responder;16
é;420
o;804
candidato;61
jair;19
bolsonaro.;10
por;123
favor,;9
para;321
quem;73
vai;85
à;49
sua;37
pergunta?ex-presidente;1
lula.um;1
minuto,;1
por;123
favor.corrupção:;1
a;807
petrobras,;2
ao;55
longo;1
de;798
14;5
anos;22
de;798
pt,;13
se;123
endividou;1
em;175
aproximadamente;1
r$;59
900;3
bilhões.;4
fruto;2
de;798
desmandos,;1
refinarias;1
começadas;1
e;577
não;311
concluídas,;1
entre;36
tantas;3
outras;9
coisas.;1
esses;12
r$;59
900;3
bilhões;12
dariam;1
para;321
fazer;62
60;4
vezes;11
a;807
transposição;1
do;382
rio;3
são;33
francisco.;1
ou;59
seja,;24
o;804
povo;16
nordestino;1
sofreu;1
por;123
falta;8
d'água;1
por;123
causa;5
da;269
corrupção;22
do;382
seu;41
governo.;13
mais;128
ainda,;3
esse;77
montante;1
é;420
equivalente;1
a;807
120;1
vezes;11
o;804
orçamento;14
do;382
ministério;5
da;269
infraestrutura.;1
eu;285
estou;22
falando;11
isso;76
para;321
que;832
se;123
tenha;9
noção;2
do;382
tamanho;3
da;269
corrupção,;9
somente;3
na;124
"petrobras;";1
e;577
delatores;1
devolveram;1
r$;59
6;1
bilhões.;4
ou;59
seja,;24
corrupção;22
houve.;1
presidente;52
lula,;11
o;804
senhor;38
quer;13
voltar;19
ao;55
poder;20
para;321
quê?;9
para;321
continuar;3
fazendo;9
a;807
mesma;14
